18/1/2025 21:27:52,2 + 2 + 2 + 2,8
18/1/2025 21:28:38,2 * 3,6
18/1/2025 23:49:16,2 * 5 ** 2,50
19/1/2025 08:18:21,3 * 5 ** 2,75
19/1/2025 11:45:09,1 + 2 ** 3,9
19/1/2025 11:46:52,1 & 0,0
19/1/2025 11:47:08,1 & 0 | 1,1
19/1/2025 11:48:33,1 + 2 * 3,7
19/1/2025 12:30:16,146 * 4,584
19/1/2025 12:49:56,3 + ( 4 * 5 ),23
19/1/2025 12:51:03,3 + ( 4 * 5 ),23
19/1/2025 12:52:46,3 + ( 4 * 5 ),23
19/1/2025 12:53:22,1 & 0,0
19/1/2025 14:03:05,1 + 2 * 3,7
19/1/2025 18:03:36,1 + 2 + 3,6
19/1/2025 18:16:18,1 + 2,3
19/1/2025 18:17:40,1 + 2 + 3,6
19/1/2025 18:19:19,1 + 2 + 3,6
19/1/2025 20:50:48,( 1 + 2 ) * 3,9
19/1/2025 21:53:55,5 + 3 * 2,11
19/1/2025 21:54:11,( 4 + 6 ) * 3,30
19/1/2025 22:02:24,( 2 + 2 ),4
19/1/2025 22:02:31,( 2 / 2 ),1
19/1/2025 22:02:39,( 2 % 2 ),0,04
19/1/2025 22:12:33,( ( 3 + 5 ) * 2 ) - ( 10 / 2 ),11
19/1/2025 22:12:59,7 % 3 + 10,10,21
19/1/2025 22:21:21,7 + 3,10
19/1/2025 22:23:37,7+3,10
19/1/2025 22:59:15,7%3+10,10,21
19/1/2025 23:00:53,1&0,0
19/1/2025 23:24:14,3+5,8
19/1/2025 23:28:05,3 + 5,8
19/1/2025 23:28:24,( 3 + 5 ) * 4,32
19/1/2025 23:28:34,( 3 + 5 ) * 4 ** 2,128
19/1/2025 23:28:39,( 3 + 5 ) * 4 ** 2 % 10,12,8
19/1/2025 23:29:13,( ( ( 3 + 5 ) * 4 ) ** 2 ) % 10,102,4
20/1/2025 10:14:15,2+2,4
20/1/2025 10:21:49,2 + 2,4
20/1/2025 10:22:10,2 + 2 + 2 + 2 + 2 + 2 + 2,14
20/1/2025 10:24:06,5 + 3 * 2,11
20/1/2025 10:24:14,(4 + 6) * 3,30
20/1/2025 10:24:22,12 / (2 + 4),2
20/1/2025 10:24:32,7 % 3 + 10,10,21
20/1/2025 10:25:27,5 + 3 * 2,11
20/1/2025 10:59:06,-5,-5
20/1/2025 11:01:25,-5 + 8 * 2,11
20/1/2025 11:30:43,(( 3 + 5 ) * 2 ) - (10 / 2),11
20/1/2025 11:33:42,8 * (2 + (3 - 1)),32
20/1/2025 11:34:06,(4 + (6 / 2)) * (3 - 1),14
20/1/2025 11:34:23,(5 + (10 - (3 * 2))),9
20/1/2025 11:34:50,((12 / 3) + (5 * 2)) - 7,7
20/1/2025 11:34:57,((7 % 4) + 3) * 2,6,5600000000000005
20/1/2025 11:35:03,10 / (5 + (3 - 1)),1,4285714285714286
20/1/2025 11:35:10,100 / (2 * (3 + 2)),10
20/1/2025 11:35:17,5 * (2 + (3 * (4 - 1))),55
20/1/2025 11:37:51,1 & 0,0
20/1/2025 11:37:57,1 | 0,1
20/1/2025 11:38:02,~1,0
20/1/2025 11:38:07,1 ^ 0,1
20/1/2025 11:38:14,1 & 1 | 0,1
20/1/2025 11:38:29,(1 & 0) | 1,1
20/1/2025 11:38:36,1 & (1 | 0),1
20/1/2025 11:38:46,(1 ^ 0) & 1,1
20/1/2025 11:38:59,(1 ^ 0) & 1,1
20/1/2025 11:39:04,1 & (1 | (~0 & 1)),1
20/1/2025 11:39:10,(1 ^ (0 | 1)) & 1,0
20/1/2025 11:39:19,~(1 & 0) | (1 & (0 ^ 1)),1
20/1/2025 11:39:27,1 & (~(0 | 1) ^ 1),1
20/1/2025 13:09:23,1+2,3
20/1/2025 18:09:35,7%3,0,21
20/1/2025 18:20:15,10,21 + 20,30,21
20/1/2025 18:23:25,5,21 + 2,7,21
